timestamp,test_phase,command_type,command_value,turret_velocity_rps,turret_position_rot,motor_voltage,stator_current,supply_voltage
196.318968,1.0,0.0,-2.5,-0.431640625,3.4252929687499996,-2.52,4.44,11.76947998046875
196.335792,1.0,0.0,-2.5,-0.40625000000000006,3.4169921874999996,-2.52,5.5200000000000005,11.76947998046875
196.356272,1.0,0.0,-2.5,-0.419921875,3.408203125,-2.52,4.9,11.76947998046875
196.376547,1.0,0.0,-2.5,-0.41796875,3.39990234375,-2.52,5.7,11.775762451171875
196.396284,1.0,0.0,-2.5,-0.4375,3.39306640625,-2.52,4.36,11.775762451171875
196.416559,1.0,0.0,-2.5,-0.419921875,3.38232421875,-2.52,5.08,11.76947998046875
196.436129,1.0,0.0,-2.5,-0.42578124999999994,3.3740234374999996,-2.52,4.4,11.782044921875
196.45633,1.0,0.0,-2.5,-0.431640625,3.365234375,-2.52,5.08,11.775762451171875
196.480482,1.0,0.0,-2.5,-0.423828125,3.3549804687499996,-2.5300000000000002,5.2,11.74435009765625
196.496324,1.0,0.0,-2.5,-0.4375,3.34814453125,-2.52,4.6000000000000005,11.750632568359375
196.517323,1.0,0.0,-2.5,-0.419921875,3.33935546875,-2.52,4.92,11.763197509765625
196.539453,1.0,0.0,-2.5,-0.42578124999999994,3.3310546874999996,-2.52,4.66,11.775762451171875
196.559988,1.0,0.0,-2.5,-0.431640625,3.322265625,-2.52,4.78,11.7569150390625
196.579892,1.0,0.0,-2.5,-0.439453125,3.3134765625,-2.52,4.84,11.74435009765625
196.596717,1.0,0.0,-2.5,-0.419921875,3.30517578125,-2.52,5.08,11.750632568359375
196.616918,1.0,0.0,-2.5,-0.431640625,3.29638671875,-2.52,4.46,11.76947998046875
196.637916,1.0,0.0,-2.5,-0.419921875,3.28759765625,-2.52,4.68,11.782044921875
196.656652,1.0,0.0,-2.5,-0.419921875,3.279296875,-2.52,5.28,11.7569150390625
196.676964,1.0,0.0,-2.5,-0.419921875,3.2705078125,-2.52,5.3,11.763197509765625
196.698018,1.0,0.0,-2.5,-0.431640625,3.26220703125,-2.52,5.28,11.782044921875
196.71655,1.0,0.0,-2.5,-0.42578124999999994,3.25341796875,-2.52,4.64,11.76947998046875
196.736732,1.0,0.0,-2.5,-0.42773437500000006,3.2451171874999996,-2.52,4.72,11.782044921875
196.758009,1.0,0.0,-2.5,-0.431640625,3.236328125,-2.52,4.78,11.788327392578125
196.77654,1.0,0.0,-2.5,-0.42578124999999994,3.2275390625,-2.52,4.72,11.79460986328125
196.799338,1.0,0.0,-2.5,-0.4140625,3.21923828125,-2.52,4.86,11.775762451171875
196.815996,1.0,0.0,-2.5,-0.43359375,3.21044921875,-2.52,4.64,11.782044921875
