timestamp,pose_x,pose_y,pose_heading,vel_vx,vel_vy,vel_omega,target_x,target_y,distance,raw_turret_angle,filtered_turret_angle,turret_setpoint,turret_actual,turret_error,motor_voltage,stator_current,sotm_active,vision_tag_count,vision_feeding,cancoder_position
63.772602,14.079126243144783,4.005817930381823,-170.32021152246134,0.6662844673720347,2.8569402380788995,-0.14429305185902652,11.915,4.04,2.33633878527236,-28.715510588765824,-28.159162342494557,-28.159162342494557,-18.08984375,-10.069318592494557,-1.41,4.4,1.0,0.0,1.0,31.376953125
63.790113,14.076271523043117,3.9562939320232022,-170.4049780654299,0.6771379380559548,2.951389820691661,-0.24396445572557723,11.915,4.04,2.362513237417456,-30.724928261923594,-30.211775078037785,-30.211775078037785,-19.320312499999996,-10.891462578037789,-1.6,7.22,1.0,1.0,1.0,30.322265625
63.809906,14.073146127173857,3.8993118563219604,-170.47559197949283,0.6380522598893548,2.841207218541478,-0.06970357790029444,11.915,4.04,2.388592154354037,-32.409876421989566,-31.97025615319921,-31.97025615319921,-21.078125,-10.892131153199209,-1.51,7.640000000000001,1.0,0.0,1.0,28.212890625
63.830014,14.069877918540495,3.8390739043641577,-170.59423717871056,0.6640630610428461,2.992022251019261,-0.07593146797651237,11.915,4.04,2.4244851289846308,-34.45951986111453,-33.96166711953146,-33.96166711953146,-23.01171875,-10.949948369531462,-1.72,8.1,1.0,0.0,1.0,26.630859375
63.849918,14.066653242954434,3.7776952610107433,-170.62726899121125,0.6841404225687746,3.116490368850762,-0.09884836770696107,11.915,4.04,2.4686324891393254,-36.769574272483965,-36.207992841893464,-36.207992841893464,-24.76953125,-11.438461591893464,-1.56,4.82,1.0,0.0,1.0,24.609375
63.876278,14.062416402626017,3.692188684160444,-170.69106897949243,0.6497778123486331,3.0034150563741955,-0.04519905749661016,11.915,4.04,2.5147218980060666,-38.82609254187747,-38.30247260188067,-38.30247260188067,-27.406250000000004,-10.89622260188067,-1.74,3.1,1.0,0.0,1.0,21.796875
63.89032,14.06051965524753,3.653992849988085,-170.70292030761712,0.6562162139887638,3.0447636088053445,-0.06701574145594312,11.915,4.04,2.5498267906563283,-40.28267227476056,-39.88663234018458,-39.88663234018458,-28.98828125,-10.898351090184583,-1.55,1.6600000000000001,1.0,0.0,1.0,19.6875
63.909872,14.057387129051492,3.5949395520020837,-170.73563930371063,0.646601966350181,2.9013306156671903,-0.04673357279112007,11.915,4.04,2.5788627548543737,-41.51670852020334,-41.19069328419959,-41.19069328419959,-31.097656249999996,-10.093037034199593,-1.42,3.22,1.0,0.0,1.0,17.841796875
63.932429,14.05399172194929,3.5366237883802225,-170.79400654980452,0.44511913765600153,2.002625886784835,-0.0034135406494996525,11.915,4.04,2.5514857292301136,-40.386167213756664,-40.54707242784525,-40.54707242784525,-33.734375,-6.812697427845251,-1.26,1.12,1.0,0.0,1.0,16.171875
63.950255,14.051532459581507,3.4991379627802726,-170.82751382324196,0.5170783342440763,2.2454804880694987,-0.048716028976376384,11.915,4.04,2.5439379952837538,-40.18283351681663,-40.255681299022356,-40.255681299022356,-35.140625,-5.115056299022356,-1.1500000000000001,0.14,1.0,0.0,1.0,14.589843750000002
63.9699,14.04889781628707,3.4609223259334563,-170.7691393740232,0.4008244086680835,1.7147576778041371,0.1242079502311378,11.915,4.04,2.513781706987569,-39.03331209488226,-39.277785935710284,-39.277785935710284,-36.1953125,-3.082473435710284,-0.73,0.34,1.0,0.0,1.0,13.7109375
63.990249,14.047223452129511,3.4386786267711327,-170.83916013183605,0.23985940987958387,1.0027136616467607,-0.19706301614264476,11.915,4.04,2.4559780837371488,-36.19397844623302,-36.81073994412847,-36.81073994412847,-36.8984375,0.08769755587152872,-0.5,2.74,1.0,0.0,1.0,12.65625
64.009838,14.046000448868066,3.4220299536472636,-170.72623144042956,0.18723749663384437,0.777415841337002,-0.16619936154197174,11.915,4.04,2.411909712436726,-33.85865482598706,-34.44907184961534,-34.44907184961534,-37.07421875,2.6251469003846566,0.19,-4.1,1.0,0.0,1.0,12.48046875
64.03156,14.044801882554623,3.4070364526483017,-170.47839630370828,0.1573192032730319,0.6260282792683194,0.25084262526100565,11.915,4.04,2.3777546274543027,-31.94248845283886,-32.44380513219416,-32.44380513219416,-36.8984375,4.454632367805843,0.47000000000000003,-1.58,1.0,0.0,1.0,12.392578125
64.04998,14.043695176013937,3.3918787181098446,-170.36808754980504,0.22063849929919807,0.9052885932281024,0.15189526197189795,11.915,4.04,2.370566963160262,-31.621868075553493,-31.786255486881625,-31.786255486881625,-36.37109375,4.584838263118375,0.85,-3.38,1.0,0.0,1.0,12.392578125
64.070125,14.042659980484515,3.3744497070666033,-170.01121091308104,0.19146742051020318,0.8152189418324387,-0.12607450285190996,11.915,4.04,2.3646801262108323,-31.53151041686243,-31.58245943086627,-31.58245943086627,-35.66796875,4.085509319133731,0.85,-2.5,1.0,0.0,1.0,12.3046875
